name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7
"Nansen","NSN","https://icodrops.com/media/cache/ad/c2/adc2c4748bdaa9d4f7802a9205ee2355.webp","https://icodrops.com/nansen/","TGE and Distribution","$88.2 M","—","Blockchain Service","Upcoming","","Andreessen Horowitz (a16z)","BitScale Capital","Coinbase Ventures","More Details","","",""
"Debank","","https://icodrops.com/media/cache/a7/2e/a72e347a72efde06055362e3c9a5f0e8.webp","https://icodrops.com/debank/","TGE and Distribution","$25 M","—","Blockchain Service","Upcoming","","HongShan (ex-Sequoia China)","Coinbase Ventures","Crypto.com","More Details","Ethereum","Polygon (ex-Matic Network)",""
"Kakarot zkEVM","","https://icodrops.com/media/cache/39/18/3918d31d1d0e0dceb4eaa50ab35a295e.webp","https://icodrops.com/kakarot-zkevm/","TGE and Distribution","—","—","Layer-2","Upcoming","","Vitalik Buterin","CMS Holdings","Fenbushi Capital","More Details","Ethereum","StarkNet",""
"Kresus","","https://icodrops.com/media/cache/5d/02/5d02a3fac7f8d914d116b2d41ccf0687.webp","https://icodrops.com/kresus/","TGE and Distribution","$38 M","—","Wallet","Upcoming","","Hanwha Investment & Securities","","","","","",""
"Polynomial Protocol","","https://icodrops.com/media/cache/89/38/8938b63800762c9ac85a0d82c4cefe52.webp","https://icodrops.com/polynomial-protocol/","TGE and Distribution","$1.1 M","—","DeFi","Upcoming","","Pantera Capital","Alliance","Divergence Ventures","More Details","","",""
"CCP Games","","https://icodrops.com/media/cache/91/cb/91cb9ab5166e3bf9d4128c802d6d6c81.webp","https://icodrops.com/ccp-games/","TGE and Distribution","$40 M","—","Gaming","Upcoming","","Andreessen Horowitz (a16z)","BITKRAFT Ventures","Hashed","More Details","","",""
"Reya (former Voltz)","REYA","https://icodrops.com/media/cache/57/6b/576b0ba0f2c68f626b0e1fc6612956d2.webp","https://icodrops.com/reya/","TGE and Distribution","$16 M","$150 M","DeFi","Upcoming","","Brevan Howard","Framework Ventures","Amber Group","More Details","","",""
"Huddle01","HUDL","https://icodrops.com/media/cache/c6/41/c6410694a633d801a4322adb94a04f8c.webp","https://icodrops.com/huddle01/","TGE and Distribution","$4.5 M","—","Social","Upcoming","","Balaji Srinivasan","Stani Kulechov","LongHash Ventures","More Details","Ethereum","",""
"ZNS Connect","ZNS","https://icodrops.com/media/cache/6a/f6/6af64bee3eecffe8fa860a8d948dc3d0.webp","https://icodrops.com/zns-connect/","TGE and Distribution","—","$16 M","Web 3.0","Upcoming","","Ethereum","","","","","",""
"Mawari","","https://icodrops.com/media/cache/99/f9/99f9ef4aeaaa6ab93dc0bd0af7dbb1c6.webp","https://icodrops.com/mawari/","TGE and Distribution","$17.3 M","—","Blockchain Service","Upcoming","","1kx","Samsung NEXT","Animoca Brands","More Details","","",""
"Rabby Wallet","","https://icodrops.com/media/cache/c3/b7/c3b7c8fc5aeacd3a0864936f82fd956b.webp","https://icodrops.com/rabby-wallet/","TGE and Distribution","$25 M","—","Wallet","Upcoming","","Sequoia Capital","Coinbase Ventures","Crypto.com","More Details","Ethereum","",""
"Setter","","https://icodrops.com/media/cache/ec/10/ec1082e7c8f4717e87b79d76146c5a3d.webp","https://icodrops.com/setter/","TGE and Distribution","$5 M","—","Social","Upcoming","","Andreessen Horowitz (a16z)","Marcy Venture Partners","Serena Williams","More Details","Multichain","",""
"RabbitHole","","https://icodrops.com/media/cache/a7/c9/a7c904890d715ae47eb2dfbc2bc073c1.webp","https://icodrops.com/rabbithole/","TGE and Distribution","$21.6 M","—","Blockchain Service","Upcoming","","Electric Capital","Framework Ventures","ParaFi Capital","More Details","Ethereum","Solana","Optimism"
"N1 (ex Layer N)","","https://icodrops.com/media/cache/eb/fb/ebfb48c6ba067ae71e3815fbd9966173.webp","https://icodrops.com/layer-n/","TGE and Distribution","$7 M","—","Blockchain","Upcoming","","Founders Fund","Solana Ventures","Kraken","More Details","Ethereum","",""
"Linera","","https://icodrops.com/media/cache/c5/b8/c5b888b447328f43e085fbd42d3f5736.webp","https://icodrops.com/linera/","TGE and Distribution","$12 M","—","Infrastructure","Upcoming","","Andreessen Horowitz (a16z)","Tribe Capital","Eterna Capital","More Details","","",""
"Zoth","ZOTH","https://icodrops.com/media/cache/fb/ce/fbce0bff1c795ca411111bbf787288e2.webp","https://icodrops.com/zoth/","TGE and Distribution","$21.5 M","—","DeFi","Upcoming","","Momentum 6","Outlier Ventures","Borderless Capital","More Details","Ethereum","",""
"EstateX","ESX","https://icodrops.com/media/cache/6b/10/6b10be62113e1c17329617753a4c1840.webp","https://icodrops.com/estatex/","IDO on Seedify","—","$1.92 M","Real Estate","Upcoming","","GD10 Ventures","Binance coin","","","","",""
"Ponder","PNDR","https://icodrops.com/media/cache/88/a8/88a8fc4bf13af1a45707dbaacbaaff5b.webp","https://icodrops.com/ponder-one/","IDO on WePad","—","$10 M","DeFi","Upcoming","","ZBS Capital","Basics Capital","MH Ventures","More Details","","",""
"SpartaDEX","SPARTA","https://icodrops.com/media/cache/d9/4d/d94dc6f33c5bdf6fb4e818bcad7b431f.webp","https://icodrops.com/spartadex/","Airdrop","$350 K","$1.55 M","DEX","Upcoming","","Arbitrum","","","","","",""
"Finblox","FBX","https://icodrops.com/media/cache/f4/3c/f43c5e2f5cc3334e3b3032bc9f0f1f0b.webp","https://icodrops.com/finblox/","IDO","$7.95 M","$51.97 K","DeFi","Upcoming","","CoinFund","Dragonfly Capital","Peak XV Partners(ex-Sequoia India)","More Details","","",""
"Archer","","https://icodrops.com/media/cache/68/92/68923b4b16de05d2a1a1fa71c0a2f15a.webp","https://icodrops.com/archer/","Private Stage","—","—","DEX","Upcoming","","Solana","","","","","",""
"NEWITY","","https://icodrops.com/media/cache/48/25/48250aeb88d233e728775de4053f22b0.webp","https://icodrops.com/newity/","Private Stage","$11 M","—","Finance","Upcoming","","CMT Digital","","","","","",""
"Dome","","https://icodrops.com/media/cache/24/f8/24f8cd94e38294efd20f1d96b0dbe497.webp","https://icodrops.com/dome/","Private Stage","—","—","Blockchain Service","Upcoming","","Polymarket","","","","","",""
"Novig","","https://icodrops.com/media/cache/b4/99/b49987e7e310cc27385239492371749e.webp","https://icodrops.com/novig/","Private Stage","$100.2 M","$500 M","Predictions","Upcoming","","Multicoin Capital","Pantera Capital","NFX","More Details","","",""
"XO Market","","https://icodrops.com/media/cache/93/64/9364e94dffed5cc16032e86a05cf2cc6.webp","https://icodrops.com/xo-market/","Private Stage","$6.5 M","—","DeFi","Upcoming","","Coinbase Ventures","Delphi Ventures","20VC","More Details","","",""
"Echo","","https://icodrops.com/media/cache/af/59/af596af7fe9ddbb2acbbee2c4fde3faf.webp","https://icodrops.com/echo/","Private Stage","$375 M","—","Launchpad","Upcoming","","Coinbase Ventures","","","","","",""
"Bitwise","","https://icodrops.com/media/cache/fc/75/fc75d91e2a813b31149f31fc1b95607f.webp","https://icodrops.com/bitwise/","Private Stage","$154.5 M","$500 M","Finance","Upcoming","","Blockchain Capital","Electric Capital","Naval Ravikant","More Details","","",""
"Rena Labs","","https://icodrops.com/media/cache/91/d1/91d1990e8b7eac8da51f4969a29c0c98.webp","https://icodrops.com/rena-labs/","Private Stage","$3.3 M","—","Infrastructure","Upcoming","","Faction","Selini Capital","Eterna Capital","More Details","","",""
"Zodia Custody","","https://icodrops.com/media/cache/b0/67/b067c336f3779ba96a2b388e7b7dff69.webp","https://icodrops.com/zodia-custody/","Private Stage","$36 M","—","Finance","Upcoming","","Emirates NBD","SBI Digital Asset Holdings","SC Ventures","More Details","","",""
"OpenBrick","","https://icodrops.com/media/cache/cf/eb/cfebec9417ae96c1600b58df26b4aa95.webp","https://icodrops.com/openbrick/","Private Stage","—","—","Real Estate","Upcoming","","SIX Group","Hedera Hashgraph","","","","",""
"Nametag","","https://icodrops.com/media/cache/7e/c6/7ec6171b8c953efaebbb198216b7a526.webp","https://icodrops.com/nametag/","Private Stage","$2 M","—","Blockchain Service","Upcoming","","Coinbase Ventures","Continue Capital","OKX Ventures","More Details","","",""
